flight_id,flight_number,airline,aircraft_model,origin_airport_id,origin_airport_code_x,origin_city_x,origin_country_x,destination_airport_id,destination_airport_code_x,destination_city_x,destination_country_x,distance_km,estimated_flight_time_hours,ticket_cost_usd,fuel_used_liters,reliability_score,departure_datetime,arrival_datetime,departure_hour,arrival_hour,day,month,year,flight_status,weather_condition,passenger_capacity,occupied_seats,cargo_weight_kg,delay_minutes,gate_number,terminal,origin_airport_code_y,origin_airport_name,origin_city_y,origin_country_y,origin_airport_type,origin_latitude,origin_longitude,origin_elevation_meters,origin_runways,origin_timezone,destination_airport_code_y,destination_airport_name,destination_city_y,destination_country_y,destination_airport_type,destination_latitude,destination_longitude,destination_elevation_meters,destination_runways,destination_timezone
11,LA273,JetSMART,Boeing 777,2693,AP2693,Hillstad,Italy,111,AP0111,Oliverside,Italy,17599.5,19.55,3299.41,85914.75,0.89,2026-04-26 00:51:27,2026-04-26 20:24:27,0,20,26,4,2026,Cancelled,Sunny,110,203,4218.82,54,G24,T3,AP2693,Graves-Thomas Airport,Hillstad,Italy,International,35.752651,94.667888,3372,6,UTC-4,AP0111,Young-Young Airport,Oliverside,Italy,National,-16.672126,-97.006305,1577,3,UTC-5
12,SK5667,American Airlines,Airbus A330,874,AP0874,North Kennethville,Australia,900,AP0900,West Tommy,Peru,6685.71,7.71,937.99,30481.2,0.89,2024-05-27 16:20:15,2024-05-28 00:02:51,16,0,27,5,2024,Delayed,Sunny,322,91,23184.56,180,G25,T2,AP0874,Byrd LLC Airport,North Kennethville,Australia,Regional,43.883324,4.199923,1309,4,UTC+3,AP0900,Massey-Tanner Airport,West Tommy,Peru,International,17.174705,-60.581055,2896,1,UTC-4
13,IB9764,Lufthansa,Airbus A320,2461,AP2461,South Rebecca,United Kingdom,759,AP0759,South Tony,United Kingdom,4662.17,5.7,620.95,19976.85,0.76,2024-12-30 04:30:09,2024-12-30 10:12:09,4,10,30,12,2024,On Time,Sunny,94,44,29494.45,73,G80,T2,AP2461,Price Group Airport,South Rebecca,United Kingdom,National,40.454956,-166.983868,4489,6,UTC+8,AP0759,"Snyder, Patterson and Maxwell Airport",South Tony,United Kingdom,Regional,0.866265,-151.773292,2347,4,UTC+8
14,SK2041,LATAM Airlines,Embraer E190,2021,AP2021,East Alisonfurt,Netherlands,966,AP0966,Dianaborough,Brazil,3456.08,4.45,612.66,16653.41,0.75,2024-12-11 15:59:58,2024-12-11 20:26:58,15,20,11,12,2024,Delayed,Cloudy,86,149,13423.84,129,G79,T3,AP2021,Howard-Garcia Airport,East Alisonfurt,Netherlands,National,19.303516,94.076186,1212,5,UTC+0,AP0966,"Cannon, Saunders and Hernandez Airport",Dianaborough,Brazil,National,13.451569,62.20867,556,1,UTC+1
15,LA3727,Qatar Airways,Boeing 787,782,AP0782,North Davidbury,Italy,2364,AP2364,Michellemouth,Japan,7758.17,10.84,1241.75,21071.39,0.82,2025-07-13 22:27:39,2025-07-14 09:18:03,22,9,13,7,2025,Cancelled,Rainy,247,164,27369.77,175,G73,T3,AP0782,Roberts-Davis Airport,North Davidbury,Italy,Regional,-53.974489,-147.529086,120,4,UTC-4,AP2364,"Wade, Cox and Jacobson Airport",Michellemouth,Japan,National,-51.11996,72.227341,3143,5,UTC+9
16,UA8077,Ryanair,Airbus A320,1510,AP1510,New Christineshire,Netherlands,2939,AP2939,North Ryanton,Argentina,15227.26,20.66,1328.95,40156.02,0.84,2024-08-31 19:02:59,2024-09-01 15:42:35,19,15,31,8,2024,Cancelled,Sunny,273,332,13425.72,233,G71,T1,AP1510,Berger-Stewart Airport,New Christineshire,Netherlands,National,-27.817101,-70.264872,4223,1,UTC+1,AP2939,Christensen-Wallace Airport,North Ryanton,Argentina,Regional,12.361995,66.629878,596,4,UTC+0
17,LA4058,British Airways,Embraer E190,2400,AP2400,Tiffanyberg,Spain,2569,AP2569,Lake Destiny,Chile,4715.48,6.57,697.44,19523.06,0.92,2024-08-21 15:27:43,2024-08-21 22:01:55,15,22,21,8,2024,Cancelled,Cloudy,181,139,17538.0,73,G40,T3,AP2400,"Martin, Edwards and Hunt Airport",Tiffanyberg,Spain,National,23.640172,156.297912,2367,5,UTC+3,AP2569,Byrd-Williams Airport,Lake Destiny,Chile,Regional,61.421453,128.106057,4341,2,UTC+8
18,AA5575,Qatar Airways,Airbus A320,1071,AP1071,Juanfort,France,737,AP0737,Josephside,Turkey,8622.75,11.39,1214.22,22087.46,0.84,2025-04-05 06:22:02,2025-04-05 17:45:26,6,17,5,4,2025,On Time,Cloudy,248,45,3113.48,54,G49,T3,AP1071,Moreno Ltd Airport,Juanfort,France,Regional,39.078563,15.736441,2590,6,UTC+9,AP0737,Watson and Sons Airport,Josephside,Turkey,International,32.602319,-85.194111,2353,1,UTC+1
19,UA8902,KLM,Boeing 787,2772,AP2772,East Eric,Italy,1657,AP1657,East Riley,United States,17896.49,23.39,2095.65,51721.28,0.84,2025-03-26 11:28:37,2025-03-27 10:52:01,11,10,26,3,2025,Cancelled,Sunny,165,333,21371.24,38,G29,T2,AP2772,Evans Inc Airport,East Eric,Italy,Regional,63.682188,51.532414,1226,6,UTC-5,AP1657,"Cervantes, Wilson and Anderson Airport",East Riley,United States,National,-44.629579,-128.242969,189,6,UTC+3
20,LA9460,American Airlines,Boeing 777,2862,AP2862,Joshuafurt,France,2088,AP2088,New Sara,Qatar,19358.61,24.88,1634.08,67621.37,0.77,2026-04-25 05:46:28,2026-04-26 06:39:16,5,6,25,4,2026,Cancelled,Sunny,252,165,1162.94,195,G70,T4,AP2862,Downs LLC Airport,Joshuafurt,France,Regional,0.758497,-174.722228,2163,2,UTC+1,AP2088,Byrd-Hall Airport,New Sara,Qatar,National,4.747369,3.144692,3743,1,UTC-5
21,LA1548,Copa Airlines,Boeing 777,1028,AP1028,Port Justin,China,2918,AP2918,South Karen,Australia,19625.04,23.64,3707.48,63974.31,0.75,2026-01-14 23:58:52,2026-01-15 23:37:16,23,23,14,1,2026,Delayed,Cloudy,139,43,9166.11,173,G43,T4,AP1028,Sullivan Ltd Airport,Port Justin,China,International,-41.129182,-48.387291,334,3,UTC+0,AP2918,"Villegas, Powell and Flores Airport",South Karen,Australia,National,42.909888,127.543761,1509,4,UTC+0
22,SK7491,Qatar Airways,Boeing 787,234,AP0234,New Alexis,Turkey,568,AP0568,Thomasstad,Chile,15658.05,19.95,2348.26,74574.77,0.99,2025-09-25 06:35:31,2025-09-26 02:32:31,6,2,25,9,2025,On Time,Cloudy,286,199,5857.13,11,G30,T2,AP0234,"Anderson, Torres and Barry Airport",New Alexis,Turkey,Regional,55.460271,-166.410903,2758,5,UTC-4,AP0568,Young and Sons Airport,Thomasstad,Chile,Regional,-29.158627,54.57144,4204,1,UTC+9
23,IB2417,Aeromexico,ATR 72,2036,AP2036,Troyfurt,Italy,2307,AP2307,Greenfurt,Italy,9491.09,11.76,1717.4,42834.33,0.96,2025-02-13 11:28:41,2025-02-13 23:14:17,11,23,13,2,2025,Delayed,Foggy,165,79,8419.2,118,G4,T2,AP2036,Ramirez Inc Airport,Troyfurt,Italy,International,-49.970901,39.289575,2273,1,UTC+8,AP2307,Moore Group Airport,Greenfurt,Italy,International,0.835637,-42.472996,1285,5,UTC+1
24,AA3797,Air Canada,Airbus A320,1411,AP1411,Gilbertview,China,552,AP0552,Brennanmouth,Peru,5160.0,7.37,958.87,26945.48,0.78,2024-08-09 02:13:33,2024-08-09 09:35:45,2,9,9,8,2024,On Time,Cloudy,290,126,3870.27,203,G78,T2,AP1411,"Cruz, Reyes and Maldonado Airport",Gilbertview,China,National,-4.430592,-30.30474,3232,6,UTC+0,AP0552,"Weber, Branch and Ponce Airport",Brennanmouth,Peru,Regional,22.882241,8.122324,3437,1,UTC+1
25,SK9485,British Airways,Airbus A320,318,AP0318,New Timothyhaven,Mexico,2719,AP2719,Port Christophermouth,China,12128.49,16.92,2163.77,43149.71,0.97,2024-08-06 09:45:41,2024-08-07 02:40:53,9,2,6,8,2024,Cancelled,Rainy,118,262,4086.06,28,G65,T4,AP0318,Butler-Lang Airport,New Timothyhaven,Mexico,Regional,4.884908,-107.255517,4412,3,UTC+3,AP2719,"Beck, Montgomery and Casey Airport",Port Christophermouth,China,International,42.160822,14.066829,3664,1,UTC+8
26,IB9742,Qatar Airways,Airbus A330,1919,AP1919,Lisaport,Brazil,695,AP0695,Mooreburgh,Mexico,13648.74,18.1,2043.7,56049.8,0.83,2024-06-12 14:34:48,2024-06-13 08:40:48,14,8,12,6,2024,Cancelled,Storm,155,88,12069.87,132,G6,T1,AP1919,West Ltd Airport,Lisaport,Brazil,Regional,69.429802,-109.499009,2957,5,UTC-4,AP0695,Hart-Higgins Airport,Mooreburgh,Mexico,Regional,-22.085491,15.966022,1424,4,UTC+8
27,SK9993,Air France,Boeing 737,775,AP0775,Nicholasfurt,Peru,811,AP0811,East Alexandra,Argentina,2143.37,2.4,282.26,11739.76,0.83,2025-05-01 19:52:24,2025-05-01 22:16:24,19,22,1,5,2025,Cancelled,Storm,149,300,27349.83,122,G23,T3,AP0775,"Mckenzie, Murphy and Petersen Airport",Nicholasfurt,Peru,National,44.745597,34.921351,59,5,UTC+0,AP0811,Cortez and Sons Airport,East Alexandra,Argentina,Regional,27.109564,25.209961,1465,5,UTC+8
28,LA8519,Sky Airline,Boeing 787,1220,AP1220,Lake Amandastad,United States,2375,AP2375,Michaelfort,Brazil,5088.32,6.49,489.68,27397.22,0.82,2025-09-06 00:19:53,2025-09-06 06:49:17,0,6,6,9,2025,Cancelled,Storm,153,40,2565.26,141,G28,T3,AP1220,Meyer-Mason Airport,Lake Amandastad,United States,International,-10.151656,-86.109117,1299,2,UTC+9,AP2375,Brooks and Sons Airport,Michaelfort,Brazil,National,-49.515666,-114.235992,2785,6,UTC+3
29,AA2647,American Airlines,Embraer E190,562,AP0562,Port Natashabury,Qatar,1979,AP1979,West Johnhaven,United States,7066.71,8.44,1445.86,20368.96,0.97,2024-08-10 05:30:21,2024-08-10 13:56:45,5,13,10,8,2024,On Time,Rainy,212,289,29634.69,167,G28,T2,AP0562,Blackwell LLC Airport,Port Natashabury,Qatar,National,-38.043772,126.466323,237,2,UTC-4,AP1979,West and Sons Airport,West Johnhaven,United States,International,-14.17644,-166.216543,828,4,UTC+3
30,DL9558,Singapore Airlines,Airbus A350,555,AP0555,Christopherton,United Kingdom,355,AP0355,East Vanessashire,Canada,8263.15,9.27,776.53,41983.11,0.93,2024-05-27 17:02:45,2024-05-28 02:18:57,17,2,27,5,2024,Cancelled,Sunny,134,46,4699.84,162,G27,T1,AP0555,Johnson-Lewis Airport,Christopherton,United Kingdom,Regional,21.120269,-166.512359,2256,4,UTC-4,AP0355,"Franco, Allen and Hayes Airport",East Vanessashire,Canada,National,-47.380295,161.467292,1434,6,UTC+8
31,AA2239,Aeromexico,Airbus A330,136,AP0136,New Kimberlyton,China,2802,AP2802,Branchton,China,7973.24,10.35,897.41,42348.38,0.92,2024-07-12 18:28:12,2024-07-13 04:49:12,18,4,12,7,2024,Delayed,Cloudy,122,164,11814.99,49,G6,T2,AP0136,Peters PLC Airport,New Kimberlyton,China,Regional,39.555394,45.147147,422,2,UTC+0,AP2802,"Garcia, Cain and Turner Airport",Branchton,China,International,-25.400518,12.596245,498,1,UTC-4
32,DL6585,Air France,Airbus A320,768,AP0768,West Jacobton,Canada,1036,AP1036,North Brian,Argentina,5346.87,6.46,507.93,14867.57,0.83,2024-10-15 06:27:13,2024-10-15 12:54:49,6,12,15,10,2024,Cancelled,Sunny,246,158,28112.18,112,G59,T4,AP0768,"Johnson, Stokes and Davis Airport",West Jacobton,Canada,National,23.310086,-132.74024,1397,1,UTC-5,AP1036,Miller-Greer Airport,North Brian,Argentina,Regional,64.013096,-171.831503,3412,6,UTC+3
33,AA2263,Delta Airlines,Airbus A320,1535,AP1535,East Kimberly,Turkey,1975,AP1975,West Julieview,Canada,11658.64,14.74,1837.65,43062.95,0.89,2025-07-02 01:29:04,2025-07-02 16:13:28,1,16,2,7,2025,Cancelled,Cloudy,115,252,20796.45,208,G10,T4,AP1535,Wells Ltd Airport,East Kimberly,Turkey,International,-13.598533,86.865157,2960,6,UTC+9,AP1975,Houston-Carson Airport,West Julieview,Canada,National,-2.867471,-19.162746,2438,6,UTC-5
34,AA9636,Turkish Airlines,Airbus A350,2977,AP2977,Austinside,United Kingdom,2549,AP2549,Youngberg,Chile,14010.37,18.05,2617.71,50918.73,0.9,2025-03-23 17:44:34,2025-03-24 11:47:34,17,11,23,3,2025,On Time,Sunny,204,166,25422.26,189,G70,T3,AP2977,"Brown, Gutierrez and Hill Airport",Austinside,United Kingdom,Regional,-45.919019,-168.971445,3512,2,UTC+0,AP2549,Brown-Odonnell Airport,Youngberg,Chile,International,-1.284611,40.772865,3182,2,UTC+9
35,LA3426,United Airlines,Boeing 777,2596,AP2596,Lake Steven,Canada,2234,AP2234,South Derek,Colombia,8200.09,11.44,854.43,35754.58,0.84,2024-10-05 11:56:31,2024-10-05 23:22:55,11,23,5,10,2024,Delayed,Sunny,326,68,11639.88,142,G48,T4,AP2596,Miller and Sons Airport,Lake Steven,Canada,National,41.569758,-12.64738,745,5,UTC-5,AP2234,"Brennan, Kelly and Bender Airport",South Derek,Colombia,National,25.500006,-103.135074,1157,4,UTC-5
36,UA3931,Copa Airlines,Boeing 787,2305,AP2305,South Monicafort,Qatar,417,AP0417,New Zachary,Japan,9165.71,11.46,1763.17,35576.83,0.93,2026-01-31 06:26:05,2026-01-31 17:53:41,6,17,31,1,2026,On Time,Foggy,332,241,11499.47,15,G39,T3,AP2305,Smith PLC Airport,South Monicafort,Qatar,National,-23.971691,-44.636793,89,3,UTC+0,AP0417,Landry PLC Airport,New Zachary,Japan,National,43.03375,7.601339,2853,4,UTC-5
37,UA7169,Copa Airlines,Airbus A350,843,AP0843,Lisaport,Peru,577,AP0577,Lake Christopherfort,Australia,12402.66,13.8,2018.59,59398.83,0.81,2025-10-26 14:38:12,2025-10-27 04:26:12,14,4,26,10,2025,Cancelled,Rainy,166,155,17459.03,88,G2,T3,AP0843,"Smith, Soto and Carter Airport",Lisaport,Peru,International,-6.419357,-82.328264,2950,1,UTC-5,AP0577,"Garcia, Miller and Wells Airport",Lake Christopherfort,Australia,National,37.091512,29.888533,1555,3,UTC+8
38,AA6413,Sky Airline,Boeing 777,856,AP0856,Lake Markmouth,Germany,2370,AP2370,Lake Kevinshire,Peru,8420.83,9.74,915.43,36323.72,0.79,2024-09-21 12:14:32,2024-09-21 21:58:56,12,21,21,9,2024,On Time,Sunny,221,115,8416.07,201,G53,T2,AP0856,Peterson Inc Airport,Lake Markmouth,Germany,Regional,-51.314582,-65.27252,3391,4,UTC+0,AP2370,"Lam, Nelson and Carter Airport",Lake Kevinshire,Peru,Regional,0.553746,0.74614,3794,3,UTC+8
39,DL2578,United Airlines,Airbus A320,1084,AP1084,South Michaelborough,Germany,1372,AP1372,North Sharonview,Argentina,9235.78,10.39,1559.6,32607.55,0.91,2026-03-20 04:09:44,2026-03-20 14:33:08,4,14,20,3,2026,Cancelled,Storm,120,248,5278.05,61,G40,T1,AP1084,"Gilbert, Obrien and Wright Airport",South Michaelborough,Germany,Regional,62.730622,161.564978,2849,3,UTC-4,AP1372,"Gardner, Dickerson and Porter Airport",North Sharonview,Argentina,National,-3.59023,94.269888,993,3,UTC-5
40,AA9270,Qatar Airways,Airbus A350,2018,AP2018,Ashleymouth,Japan,815,AP0815,Thompsonmouth,Japan,8617.69,9.93,1012.08,37076.37,0.91,2025-01-18 04:27:26,2025-01-18 14:23:14,4,14,18,1,2025,On Time,Rainy,305,135,26779.94,170,G8,T3,AP2018,Kline LLC Airport,Ashleymouth,Japan,International,59.121824,106.399116,1721,3,UTC-5,AP0815,"Schwartz, Maldonado and Garza Airport",Thompsonmouth,Japan,National,-3.457089,47.966696,2649,5,UTC-4
41,LA4046,Delta Airlines,Boeing 737,2458,AP2458,Lake Daniel,Germany,1432,AP1432,Robertburgh,Japan,9108.84,10.9,1816.28,29217.07,0.81,2025-06-18 13:33:42,2025-06-19 00:27:42,13,0,18,6,2025,Cancelled,Rainy,340,295,12764.37,95,G35,T3,AP2458,Wagner LLC Airport,Lake Daniel,Germany,Regional,33.888128,-82.9409,202,5,UTC-4,AP1432,"Pena, Gates and Vazquez Airport",Robertburgh,Japan,National,47.105899,158.756777,3264,4,UTC+3
42,IB4500,British Airways,ATR 72,1368,AP1368,Port Edward,Italy,1455,AP1455,New Lauraview,Canada,8449.57,10.32,1425.42,40854.4,0.84,2024-08-15 18:41:34,2024-08-16 05:00:46,18,5,15,8,2024,Delayed,Storm,207,211,28462.69,92,G31,T4,AP1368,Novak and Sons Airport,Port Edward,Italy,National,32.539567,76.193256,2436,4,UTC+3,AP1455,Adams-Curry Airport,New Lauraview,Canada,Regional,68.791889,-135.552955,3918,6,UTC+9
43,UA9842,Turkish Airlines,Boeing 777,1829,AP1829,Johnsonton,China,1361,AP1361,Melissaberg,Spain,17975.97,22.64,2072.34,75372.4,0.99,2024-08-02 01:07:21,2024-08-02 23:45:45,1,23,2,8,2024,On Time,Storm,176,183,4667.72,45,G44,T3,AP1829,Cook and Sons Airport,Johnsonton,China,International,1.977647,89.347781,945,6,UTC-4,AP1361,Cortez-Morgan Airport,Melissaberg,Spain,National,-19.522797,-96.105807,4295,1,UTC+1
44,DL5119,Turkish Airlines,Boeing 737,1598,AP1598,East Laura,Argentina,990,AP0990,Masseymouth,Peru,15562.33,19.6,1309.78,39938.82,0.92,2024-10-05 02:58:08,2024-10-05 22:34:08,2,22,5,10,2024,Delayed,Cloudy,274,113,10369.8,240,G48,T4,AP1598,"Rice, Frederick and Olson Airport",East Laura,Argentina,Regional,-53.627873,147.487325,1537,5,UTC-4,AP0990,Ramirez-Thomas Airport,Masseymouth,Peru,National,58.39736,42.61395,1988,6,UTC+8
45,AA321,Aeromexico,Embraer E190,850,AP0850,Davidfurt,Chile,50,AP0050,Nunezfort,France,10449.19,13.05,1027.43,35592.67,0.86,2025-11-19 01:02:58,2025-11-19 14:05:58,1,14,19,11,2025,On Time,Cloudy,258,100,8705.16,98,G16,T3,AP0850,Rowe and Sons Airport,Davidfurt,Chile,International,-12.276731,-38.575225,1124,1,UTC+8,AP0050,Roth-Nicholson Airport,Nunezfort,France,International,37.802085,-124.038752,2308,5,UTC-4
46,SK3301,Iberia,Boeing 787,471,AP0471,East Chadton,Australia,841,AP0841,Jonesburgh,Germany,12979.24,18.2,2101.76,71296.12,0.98,2024-09-14 10:59:23,2024-09-15 05:11:23,10,5,14,9,2024,Delayed,Sunny,224,202,26697.8,54,G8,T4,AP0471,Casey-Carlson Airport,East Chadton,Australia,Regional,-19.189025,76.546467,3403,4,UTC+8,AP0841,"Wright, Gonzalez and Holmes Airport",Jonesburgh,Germany,Regional,32.344404,-173.380135,4315,1,UTC+0
47,LA396,LATAM Airlines,Boeing 737,1927,AP1927,Teresatown,Japan,1012,AP1012,Robertbury,UAE,11480.31,13.59,1599.24,42912.8,0.91,2024-07-15 10:53:20,2024-07-16 00:28:44,10,0,15,7,2024,Delayed,Foggy,252,125,5120.57,30,G11,T3,AP1927,"Wood, Kidd and Hopkins Airport",Teresatown,Japan,Regional,-33.848307,175.057299,3000,5,UTC-5,AP1012,"Patrick, Baker and Gill Airport",Robertbury,UAE,National,-32.742404,-45.545371,3749,6,UTC-4
48,DL5315,JetSMART,Airbus A350,2649,AP2649,Danafort,United Kingdom,237,AP0237,Robinsonstad,Italy,9699.51,10.95,1911.37,40223.37,0.77,2025-10-22 18:59:07,2025-10-23 05:56:07,18,5,22,10,2025,Delayed,Rainy,160,261,26786.22,129,G59,T3,AP2649,Perry and Sons Airport,Danafort,United Kingdom,National,49.758154,31.16055,3336,2,UTC-4,AP0237,"Clark, Olson and Schwartz Airport",Robinsonstad,Italy,International,11.751394,-68.591557,3842,2,UTC+0
49,LA1942,British Airways,Airbus A350,2032,AP2032,Lake Rhonda,Qatar,495,AP0495,West Shannon,Netherlands,14474.39,18.85,2386.83,72841.28,0.91,2025-07-02 19:40:28,2025-07-03 14:31:28,19,14,2,7,2025,Cancelled,Cloudy,82,310,12916.74,87,G19,T2,AP2032,"Davis, Tanner and Carter Airport",Lake Rhonda,Qatar,International,37.672233,-49.118281,269,4,UTC+8,AP0495,"Clark, Collins and Berry Airport",West Shannon,Netherlands,International,-0.62714,167.118579,1939,3,UTC+0
50,IB5407,Avianca,Airbus A350,1443,AP1443,Jamesfort,Chile,117,AP0117,Lake Gregorymouth,Mexico,9633.2,11.85,1317.7,37457.71,0.78,2024-06-27 18:07:56,2024-06-28 05:58:56,18,5,27,6,2024,On Time,Storm,71,97,9081.06,15,G6,T3,AP1443,"Wallace, Miranda and Brown Airport",Jamesfort,Chile,International,-28.544897,91.170907,732,1,UTC+1,AP0117,Walker Ltd Airport,Lake Gregorymouth,Mexico,National,-40.739107,-156.476363,4028,1,UTC+3
51,DL5432,Turkish Airlines,Airbus A320,39,AP0039,East Susan,Turkey,2373,AP2373,Christophermouth,Brazil,8965.08,12.13,834.86,44296.59,0.97,2024-05-14 05:37:27,2024-05-14 17:45:15,5,17,14,5,2024,On Time,Sunny,147,287,25833.71,45,G17,T1,AP0039,"Flowers, Sheppard and House Airport",East Susan,Turkey,Regional,34.801034,-124.273143,2430,2,UTC-5,AP2373,Woods and Sons Airport,Christophermouth,Brazil,International,-18.714168,-60.690382,898,6,UTC-4
52,AA2064,Avianca,Airbus A320,291,AP0291,Eileenville,Italy,1630,AP1630,West Michaelfort,Japan,7383.65,9.48,1390.88,22586.04,0.86,2024-06-24 13:43:48,2024-06-24 23:12:36,13,23,24,6,2024,Cancelled,Rainy,186,333,21076.69,31,G28,T4,AP0291,Cook and Sons Airport,Eileenville,Italy,International,-21.566041,-90.749202,793,1,UTC+0,AP1630,Perez-Caldwell Airport,West Michaelfort,Japan,International,-36.186715,-14.882736,1208,4,UTC+9
